# rmin,xti,xdi,xte,xdz,xvt,xvp,xtiW20,xdiW20,xteW20,xtiDBM,xdiDBM,xteDBM,xteETG,xteMTM,xteETGM,xdiETGM,gmaW20ii,omgW20ii,gmaW20ie,omgW20ie,gmaW20ei,omgW20ei,gmaW20ee,omgW20ee,gmaDBM,omgDBM,gmaMTM,omgMTM,gmaETGM,omgETGM,dbsqprf
# m,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1
4.0535e-01,1.4480e-01,8.1050e+00,2.5990e+00,1.8790e-01,8.4970e-02,9.1890e-02,1.4480e-01,2.8850e+00,1.5580e+00,1.7990e-10,6.0190e-09,4.4570e-09,2.5810e-01,2.7310e-03,7.8070e-01,5.2200e+00,1.9500e+04,-3.1410e+05,2.5650e+04,2.9570e+05,6.9170e+04,-2.3430e+05,3.6470e+04,2.9970e+05,1.5740e+02,-1.7750e+06,3.5070e+04,-9.3500e+03,1.8830e+05,4.3560e+05,2.4820e-11
4.1618e-01,1.1400e-01,-9.7050e+00,2.2960e+00,1.4290e-01,2.5860e-02,6.9730e-02,1.1400e-01,-1.1870e+01,1.3890e+00,1.1130e-10,8.2670e-09,8.8500e-09,3.1730e-01,6.9370e-04,5.8910e-01,2.1670e+00,1.4600e+04,-3.0210e+05,2.4460e+04,2.9190e+05,7.0180e+04,-2.4690e+05,3.3370e+04,2.9500e+05,2.0240e+02,-1.7170e+06,5.7520e+04,-2.1360e+04,1.6880e+05,4.4320e+05,6.0500e-12
4.2675e-01,9.7880e-02,-4.4300e-01,2.0570e+00,1.1340e-01,1.5000e-02,5.4090e-02,9.7880e-02,-1.5210e+00,1.2480e+00,0.0000e+00,1.3960e-08,1.7390e-08,3.8260e-01,5.4170e-03,4.2060e-01,1.0780e+00,1.3010e+04,-2.9580e+05,2.3170e+04,2.8840e+05,6.7300e+04,-2.5950e+05,3.0490e+04,2.9080e+05,2.5850e+02,-1.6580e+06,7.0700e+04,-3.0470e+04,1.4870e+05,4.5010e+05,4.5300e-11
4.3707e-01,8.9930e-02,-3.1290e-01,1.8910e+00,9.5280e-02,1.0130e-02,4.3170e-02,8.9930e-02,-8.9170e-01,1.1460e+00,0.0000e+00,2.6440e-08,3.3880e-08,4.5190e-01,9.8950e-03,2.8300e-01,5.7880e-01,1.2250e+04,-2.9390e+05,2.1760e+04,2.8480e+05,6.3820e+04,-2.6870e+05,2.8080e+04,2.8700e+05,3.2870e+02,-1.5880e+06,7.7610e+04,-3.6480e+04,1.2860e+05,4.5530e+05,7.9250e-11
4.4711e-01,8.4480e-02,-4.0720e-01,1.7830e+00,8.4930e-02,7.6590e-03,3.4960e-02,8.4480e-02,-7.3380e-01,1.0630e+00,0.0000e+00,5.4750e-08,6.6110e-08,5.2490e-01,1.3260e-02,1.8260e-01,3.2660e-01,1.1940e+04,-2.9620e+05,2.0390e+04,2.8140e+05,6.2290e+04,-2.7760e+05,2.5930e+04,2.8330e+05,4.1780e+02,-1.5020e+06,7.9980e+04,-3.9580e+04,1.1000e+05,4.5830e+05,1.0160e-10
4.5687e-01,9.4380e-01,-4.2500e-01,2.0950e+00,8.6050e-02,6.7880e-03,2.9320e-02,8.0960e-02,-7.2470e-01,1.0040e+00,8.6290e-01,8.7540e-02,3.4520e-01,6.0420e-01,1.5180e-02,1.2650e-01,2.1220e-01,1.2200e+04,-3.0320e+05,1.9050e+04,2.7790e+05,6.5790e+04,-2.8480e+05,2.4180e+04,2.7980e+05,2.2960e+04,5.1380e+03,7.8900e+04,-4.0130e+04,9.6770e+04,4.5750e+05,1.1130e-10
4.6634e-01,3.2850e+00,1.0190e+00,3.1440e+00,1.3640e-01,2.4790e-02,2.8230e-02,8.5280e-02,-8.0090e-01,9.7800e-01,3.2000e+00,1.6130e+00,1.3310e+00,6.9720e-01,1.5330e-02,1.2320e-01,2.0670e-01,1.7510e+04,-3.1870e+05,1.8340e+04,2.7460e+05,7.6020e+04,-2.8900e+05,2.2890e+04,2.7640e+05,4.1740e+04,1.1150e+04,7.4710e+04,-3.8150e+04,9.6110e+04,4.5090e+05,1.0730e-10
4.7551e-01,5.5920e+00,6.2020e+00,3.9720e+00,-2.4790e+00,3.6720e+00,2.9020e-01,1.0010e+00,-2.0410e-01,1.1370e+00,4.5900e+00,6.0400e+00,1.7970e+00,8.2560e-01,1.2920e-02,2.0020e-01,3.6590e-01,7.5860e+04,-3.3470e+05,1.9550e+04,2.7210e+05,9.1690e+04,-2.8680e+05,2.2330e+04,2.7320e+05,5.5050e+04,1.7410e+04,6.6860e+04,-3.3110e+04,1.1460e+05,4.3550e+05,8.6500e-11
4.8436e-01,2.0680e+01,2.6450e+01,2.9240e+00,-2.5200e-01,4.7170e+00,7.6970e-01,2.3500e+00,4.4230e-01,1.4330e+00,1.8330e+01,2.5000e+01,0.0000e+00,1.0500e+00,6.9140e-03,4.3420e-01,1.0040e+00,1.1110e+05,-3.4070e+05,1.9780e+04,2.6840e+05,1.0860e+05,-2.7690e+05,2.3010e+04,2.7000e+05,2.4160e+05,-6.2570e+05,5.3570e+04,-2.3840e+04,1.5400e+05,4.0690e+05,4.4290e-11
4.9289e-01,2.9470e+01,2.8610e+01,5.1380e+00,8.4630e-01,6.8450e+00,1.7620e+00,4.4670e+00,-5.8030e-01,2.0720e+00,2.5000e+01,2.5000e+01,5.2050e-01,1.5640e+00,2.1660e-03,9.7980e-01,4.1940e+00,1.5400e+05,-3.4680e+05,2.1470e+04,2.6370e+05,1.2550e+05,-2.6260e+05,2.5990e+04,2.6680e+05,5.6680e+05,-5.0010e+05,2.9600e+04,-8.9900e+03,2.1890e+05,3.5680e+05,1.3310e-11
