# rmin,xti,xdi,xte,xdz,xvt,xvp,xtiW20,xdiW20,xteW20,xtiDBM,xdiDBM,xteDBM,xteETG,xteMTM,xteETGM,xdiETGM,gmaW20ii,omgW20ii,gmaW20ie,omgW20ie,gmaW20ei,omgW20ei,gmaW20ee,omgW20ee,gmaDBM,omgDBM,gmaMTM,omgMTM,gmaETGM,omgETGM,dbsqprf
# m,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,m^2/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,s^-1,rad/s,,
1.2258e-01,0.0000e+00,5.6010e-02,1.3040e-01,-7.0400e-04,2.1240e-03,2.0590e-03,0.0000e+00,5.6010e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.3040e-01,0.0000e+00,0.0000e+00,4.0170e+03,-1.6330e+05,1.3270e+04,1.2300e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,4.5870e+02,3.0320e+04,0.0000e+00,0.0000e+00,6.8810e-09
1.2673e-01,0.0000e+00,4.0020e-02,1.2600e-01,-7.2290e-04,1.2530e-03,1.2150e-03,0.0000e+00,4.0020e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.2600e-01,0.0000e+00,0.0000e+00,3.3780e+03,-1.6400e+05,1.2850e+04,1.0790e+04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,5.6370e+02,3.2460e+04,0.0000e+00,0.0000e+00,6.6410e-09
1.3087e-01,0.0000e+00,2.5260e-02,1.2080e-01,-5.6230e-04,6.1270e-04,5.9410e-04,0.0000e+00,2.5260e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.2080e-01,0.0000e+00,0.0000e+00,2.6670e+03,-1.6450e+05,1.2330e+04,9.1310e+03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,6.6520e+02,3.4040e+04,0.0000e+00,0.0000e+00,6.3590e-09
1.3499e-01,0.0000e+00,1.3270e-02,1.1490e-01,-3.1950e-04,2.2650e-04,2.1970e-04,0.0000e+00,1.3270e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.1490e-01,0.0000e+00,0.0000e+00,1.9200e+03,-1.6500e+05,1.1750e+04,7.3770e+03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,7.5850e+02,3.5100e+04,0.0000e+00,0.0000e+00,6.0390e-09
1.3910e-01,0.0000e+00,4.7500e-03,1.0830e-01,-1.0160e-04,0.0000e+00,0.0000e+00,0.0000e+00,4.7500e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.0830e-01,0.0000e+00,0.0000e+00,1.1400e+03,-1.6570e+05,1.1130e+04,5.5510e+03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,8.3940e+02,3.5640e+04,0.0000e+00,0.0000e+00,5.6870e-09
1.4320e-01,0.0000e+00,4.3720e-04,1.0120e-01,-4.3600e-06,0.0000e+00,0.0000e+00,0.0000e+00,4.3720e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,1.0120e-01,0.0000e+00,0.0000e+00,3.4260e+02,-1.6630e+05,1.0500e+04,3.6790e+03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,9.0430e+02,3.5720e+04,0.0000e+00,0.0000e+00,5.3070e-09
1.4728e-01,0.0000e+00,0.0000e+00,9.3750e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,9.3750e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,9.5130e+02,3.5290e+04,0.0000e+00,0.0000e+00,4.9070e-09
1.5136e-01,0.0000e+00,0.0000e+00,8.6000e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,8.6000e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,9.7930e+02,3.4350e+04,0.0000e+00,0.0000e+00,4.4930e-09
1.5543e-01,0.0000e+00,0.0000e+00,7.8090e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,7.8090e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,9.8800e+02,3.2950e+04,0.0000e+00,0.0000e+00,4.0720e-09
1.5949e-01,0.0000e+00,0.0000e+00,7.0140e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,7.0140e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,9.7790e+02,3.0920e+04,0.0000e+00,0.0000e+00,3.6510e-09
